LINK-DIR,DATE-TIME,EPOCH-60MIN,COUNT
1217895149T,2018-01-01 10:00,10,1
1217895149T,2018-01-02 11:00,11,1
1217895149T,2018-01-02 17:00,17,2
1217895149T,2018-01-02 20:00,20,1
1217895149T,2018-01-03 08:00,8,1
1217895149T,2018-01-03 17:00,17,1
1217895149T,2018-01-03 20:00,20,1
1217895149T,2018-01-04 14:00,14,1
1217895149T,2018-01-04 15:00,15,2
1217895149T,2018-01-05 10:00,10,1
1217895149T,2018-01-05 12:00,12,1
1217895149T,2018-01-05 14:00,14,2
1217895149T,2018-01-05 19:00,19,1
1217895149T,2018-01-05 21:00,21,1
1217895149T,2018-01-06 19:00,19,3
1217895149T,2018-01-06 21:00,21,2
1217895149T,2018-01-07 12:00,12,1
1217895149T,2018-01-07 13:00,13,1
1217895149T,2018-01-07 14:00,14,1
1217895149T,2018-01-07 16:00,16,1
1217895149T,2018-01-07 19:00,19,1
1217895149T,2018-01-08 10:00,10,2
1217895149T,2018-01-08 12:00,12,1
1217895149T,2018-01-08 15:00,15,1
1217895149T,2018-01-09 20:00,20,1
1217895149T,2018-01-15 10:00,10,1
1217895149T,2018-01-15 14:00,14,1
1217895149T,2018-01-15 16:00,16,2
1217895149T,2018-01-16 07:00,7,2
1217895149T,2018-01-16 15:00,15,1
1217895149T,2018-01-16 16:00,16,1
1217895149T,2018-01-16 17:00,17,1
1217895149T,2018-01-17 09:00,9,1
1217895149T,2018-01-17 18:00,18,4
1217895149T,2018-01-17 22:00,22,1
1217895149T,2018-01-19 12:00,12,3
1217895149T,2018-01-19 14:00,14,1
1217895149T,2018-01-19 16:00,16,3
1217895149T,2018-01-19 17:00,17,2
1217895149T,2018-01-19 20:00,20,1
1217895149T,2018-01-20 12:00,12,3
1217895149T,2018-01-20 16:00,16,1
1217895149T,2018-01-21 12:00,12,1
1217895149T,2018-01-22 09:00,9,1
1217895149T,2018-01-22 17:00,17,2
1217895149T,2018-01-22 18:00,18,2
1217895149T,2018-01-23 09:00,9,1
1217895149T,2018-01-23 17:00,17,1
1217895149T,2018-01-24 08:00,8,1
1217895149T,2018-01-24 15:00,15,1
1217895149T,2018-01-24 17:00,17,1
1217895149T,2018-01-25 07:00,7,1
1217895149T,2018-01-25 16:00,16,2
1217895149T,2018-01-26 20:00,20,3
1217895149T,2018-01-28 13:00,13,1
1217895149T,2018-01-28 16:00,16,1
1217895149T,2018-01-29 14:00,14,2
1217895149T,2018-01-29 17:00,17,2
1217895149T,2018-01-30 11:00,11,2
1217895149T,2018-01-31 15:00,15,2
1217895149T,2018-01-31 16:00,16,1
1217895149T,2018-02-01 12:00,12,2
1217895149T,2018-02-01 17:00,17,1
1217895149T,2018-02-01 20:00,20,1
1217895149T,2018-02-02 09:00,9,1
1217895149T,2018-02-02 16:00,16,2
1217895149T,2018-02-03 10:00,10,1
1217895149T,2018-02-03 11:00,11,2
1217895149T,2018-02-04 16:00,16,2
1217895149T,2018-02-05 09:00,9,1
1217895149T,2018-02-05 10:00,10,1
1217895149T,2018-02-05 14:00,14,1
1217895149T,2018-02-05 15:00,15,3
1217895149T,2018-02-06 12:00,12,1
1217895149T,2018-02-06 15:00,15,2
1217895149T,2018-02-06 17:00,17,1
1217895149T,2018-02-06 19:00,19,2
1217895149T,2018-02-07 15:00,15,2
1217895149T,2018-02-07 17:00,17,1
1217895149T,2018-02-08 12:00,12,1
1217895149T,2018-02-09 16:00,16,3
1217895149T,2018-02-10 07:00,7,1
1217895149T,2018-02-10 09:00,9,1
1217895149T,2018-02-10 10:00,10,1
1217895149T,2018-02-10 21:00,21,1
1217895149T,2018-02-11 14:00,14,2
1217895149T,2018-02-12 08:00,8,1
1217895149T,2018-02-12 17:00,17,1
1217895149T,2018-02-12 18:00,18,1
1217895149T,2018-02-13 09:00,9,1
1217895149T,2018-02-13 17:00,17,2
1217895149T,2018-02-14 18:00,18,2
1217895149T,2018-02-15 08:00,8,1
1217895149T,2018-02-15 12:00,12,1
1217895149T,2018-02-15 21:00,21,2
1217895149T,2018-02-16 09:00,9,1
1217895149T,2018-02-16 10:00,10,1
1217895149T,2018-02-16 16:00,16,1
1217895149T,2018-02-17 08:00,8,1
1217895149T,2018-02-17 09:00,9,1
1217895149T,2018-02-17 14:00,14,1
1217895149T,2018-02-17 18:00,18,1
1217895149T,2018-02-17 20:00,20,1
1217895149T,2018-02-19 08:00,8,1
1217895149T,2018-02-19 10:00,10,1
1217895149T,2018-02-19 11:00,11,1
1217895149T,2018-02-20 08:00,8,1
1217895149T,2018-02-20 09:00,9,1
1217895149T,2018-02-20 15:00,15,2
1217895149T,2018-02-20 16:00,16,1
1217895149T,2018-02-20 23:00,23,1
1217895149T,2018-02-21 10:00,10,1
1217895149T,2018-02-21 16:00,16,1
1217895149T,2018-02-21 17:00,17,1
1217895149T,2018-02-22 15:00,15,2
1217895149T,2018-02-22 18:00,18,1
1217895149T,2018-02-22 21:00,21,1
1217895149T,2018-02-23 06:00,6,1
1217895149T,2018-02-23 15:00,15,1
1217895149T,2018-02-23 17:00,17,1
1217895149T,2018-02-24 00:00,0,1
1217895149T,2018-02-25 13:00,13,1
1217895149T,2018-02-26 14:00,14,1
1217895149T,2018-02-26 15:00,15,1
1217895149T,2018-02-26 17:00,17,1
1217895149T,2018-02-27 13:00,13,1
1217895149T,2018-02-27 14:00,14,2
1217895149T,2018-02-27 20:00,20,2
1217895149T,2018-02-28 08:00,8,1
1217895149T,2018-02-28 12:00,12,1
1217895149T,2018-02-28 16:00,16,2
1217895149T,2018-03-01 10:00,10,1
1217895149T,2018-03-01 12:00,12,1
1217895149T,2018-03-01 21:00,21,2
1217895149T,2018-03-02 17:00,17,2
1217895149T,2018-03-03 12:00,12,1
1217895149T,2018-03-05 13:00,13,1
1217895149T,2018-03-06 05:00,5,1
1217895149T,2018-03-06 09:00,9,1
1217895149T,2018-03-06 12:00,12,1
1217895149T,2018-03-07 11:00,11,1
1217895149T,2018-03-07 16:00,16,1
1217895149T,2018-03-07 17:00,17,1
1217895149T,2018-03-08 07:00,7,1
1217895149T,2018-03-08 12:00,12,1
1217895149T,2018-03-08 16:00,16,3
1217895149T,2018-03-08 18:00,18,1
1217895149T,2018-03-09 18:00,18,1
1217895149T,2018-03-10 10:00,10,2
1217895149T,2018-03-10 12:00,12,1
1217895149T,2018-03-10 16:00,16,1
1217895149T,2018-03-11 17:00,17,2
1217895149T,2018-03-12 09:00,9,1
1217895149T,2018-03-12 14:00,14,1
1217895149T,2018-03-12 15:00,15,2
1217895149T,2018-03-12 17:00,17,1
1217895149T,2018-03-13 06:00,6,1
1217895149T,2018-03-14 03:00,3,2
1217895149T,2018-03-14 05:00,5,1
1217895149T,2018-03-14 09:00,9,2
1217895149T,2018-03-14 13:00,13,1
1217895149T,2018-03-14 17:00,17,2
1217895149T,2018-03-15 17:00,17,2
1217895149T,2018-03-16 10:00,10,1
1217895149T,2018-03-16 16:00,16,1
1217895149T,2018-03-17 15:00,15,1
1217895149T,2018-03-18 09:00,9,1
1217895149T,2018-03-18 11:00,11,1
1217895149T,2018-03-18 13:00,13,1
1217895149T,2018-03-18 18:00,18,1
1217895149T,2018-03-19 10:00,10,2
1217895149T,2018-03-19 11:00,11,1
1217895149T,2018-03-19 14:00,14,2
1217895149T,2018-03-19 16:00,16,2
1217895149T,2018-03-20 13:00,13,1
1217895149T,2018-03-20 16:00,16,1
1217895149T,2018-03-20 19:00,19,1
1217895149T,2018-03-21 08:00,8,2
1217895149T,2018-03-21 09:00,9,1
1217895149T,2018-03-21 13:00,13,2
1217895149T,2018-03-21 15:00,15,1
1217895149T,2018-03-22 13:00,13,2
1217895149T,2018-03-26 20:00,20,1
1217895149T,2018-03-27 11:00,11,1
1217895149T,2018-03-27 15:00,15,1
1217895149T,2018-03-27 17:00,17,1
1217895149T,2018-03-28 16:00,16,1
1217895149T,2018-03-29 12:00,12,1
1217895149T,2018-03-29 17:00,17,1
1217895149T,2018-03-30 12:00,12,1
1217895149T,2018-03-30 17:00,17,2
1217895149T,2018-03-30 19:00,19,2
1217895149T,2018-03-31 08:00,8,1
1217895149T,2018-04-01 11:00,11,1
1217895149T,2018-04-01 18:00,18,1
1217895149T,2018-04-02 14:00,14,1
1217895149T,2018-04-02 20:00,20,1
1217895149T,2018-04-03 08:00,8,1
1217895149T,2018-04-03 11:00,11,2
1217895149T,2018-04-03 19:00,19,2
1217895149T,2018-04-03 21:00,21,1
1217895149T,2018-04-04 07:00,7,1
1217895149T,2018-04-04 16:00,16,1
1217895149T,2018-04-04 17:00,17,1
1217895149T,2018-04-05 05:00,5,1
1217895149T,2018-04-05 15:00,15,1
1217895149T,2018-04-06 08:00,8,2
1217895149T,2018-04-06 09:00,9,1
1217895149T,2018-04-06 10:00,10,1
1217895149T,2018-04-06 11:00,11,2
1217895149T,2018-04-06 17:00,17,1
1217895149T,2018-04-06 18:00,18,2
1217895149T,2018-04-07 08:00,8,1
1217895149T,2018-04-07 11:00,11,1
1217895149T,2018-04-07 15:00,15,1
1217895149T,2018-04-07 16:00,16,1
1217895149T,2018-04-08 14:00,14,2
1217895149T,2018-04-09 16:00,16,3
1217895149T,2018-04-09 17:00,17,2
1217895149T,2018-04-09 21:00,21,1
1217895149T,2018-04-10 10:00,10,3
1217895149T,2018-04-10 15:00,15,1
1217895149T,2018-04-10 16:00,16,1
1217895149T,2018-04-10 20:00,20,2
1217895149T,2018-04-10 21:00,21,2
1217895149T,2018-04-11 07:00,7,1
1217895149T,2018-04-11 08:00,8,1
1217895149T,2018-04-11 11:00,11,2
1217895149T,2018-04-11 13:00,13,1
1217895149T,2018-04-11 16:00,16,1
1217895149T,2018-04-11 18:00,18,2
1217895149T,2018-04-12 07:00,7,1
1217895149T,2018-04-12 09:00,9,1
1217895149T,2018-04-12 18:00,18,2
1217895149T,2018-04-13 08:00,8,1
1217895149T,2018-04-13 09:00,9,2
1217895149T,2018-04-13 10:00,10,2
1217895149T,2018-04-13 12:00,12,3
1217895149T,2018-04-13 13:00,13,1
1217895149T,2018-04-13 14:00,14,3
1217895149T,2018-04-13 16:00,16,1
1217895149T,2018-04-15 12:00,12,1
1217895149T,2018-04-16 08:00,8,1
1217895149T,2018-04-16 09:00,9,1
1217895149T,2018-04-16 15:00,15,1
1217895149T,2018-04-16 20:00,20,1
1217895149T,2018-04-18 08:00,8,1
1217895149T,2018-04-18 16:00,16,1
1217895149T,2018-04-18 18:00,18,1
1217895149T,2018-04-18 19:00,19,1
1217895149T,2018-04-19 08:00,8,1
1217895149T,2018-04-19 09:00,9,2
1217895149T,2018-04-19 11:00,11,2
1217895149T,2018-04-19 17:00,17,1
1217895149T,2018-04-20 15:00,15,1
1217895149T,2018-04-20 17:00,17,2
1217895149T,2018-04-20 18:00,18,1
1217895149T,2018-04-21 10:00,10,2
1217895149T,2018-04-22 15:00,15,1
1217895149T,2018-04-23 08:00,8,1
1217895149T,2018-04-23 16:00,16,2
1217895149T,2018-04-23 17:00,17,2
1217895149T,2018-04-25 10:00,10,1
1217895149T,2018-04-25 12:00,12,1
1217895149T,2018-04-26 11:00,11,2
1217895149T,2018-04-26 13:00,13,1
1217895149T,2018-04-27 08:00,8,2
1217895149T,2018-04-28 11:00,11,1
1217895149T,2018-04-28 21:00,21,1
1217895149T,2018-04-29 12:00,12,1
1217895149T,2018-04-29 15:00,15,1
1217895149T,2018-04-30 13:00,13,2
1217895149T,2018-04-30 16:00,16,1
1217895149T,2018-04-30 17:00,17,2
1217895149T,2018-05-01 16:00,16,1
1217895149T,2018-05-01 18:00,18,1
1217895149T,2018-05-02 16:00,16,1
1217895149T,2018-05-02 17:00,17,1
1217895149T,2018-05-03 15:00,15,1
1217895149T,2018-05-03 19:00,19,1
1217895149T,2018-05-04 10:00,10,1
1217895149T,2018-05-04 12:00,12,1
1217895149T,2018-05-04 15:00,15,2
1217895149T,2018-05-04 17:00,17,1
1217895149T,2018-05-05 16:00,16,1
1217895149T,2018-05-06 09:00,9,2
1217895149T,2018-05-07 12:00,12,1
1217895149T,2018-05-07 14:00,14,1
1217895149T,2018-05-07 15:00,15,1
1217895149T,2018-05-07 18:00,18,1
1217895149T,2018-05-08 08:00,8,2
1217895149T,2018-05-08 10:00,10,1
1217895149T,2018-05-08 16:00,16,1
1217895149T,2018-05-09 14:00,14,1
1217895149T,2018-05-09 15:00,15,2
1217895149T,2018-05-09 17:00,17,1
1217895149T,2018-05-09 18:00,18,1
1217895149T,2018-05-11 08:00,8,1
1217895149T,2018-05-11 14:00,14,2
1217895149T,2018-05-11 15:00,15,1
1217895149T,2018-05-11 17:00,17,1
1217895149T,2018-05-12 09:00,9,1
1217895149T,2018-05-12 10:00,10,1
1217895149T,2018-05-14 10:00,10,1
1217895149T,2018-05-14 13:00,13,1
1217895149T,2018-05-14 14:00,14,1
1217895149T,2018-05-15 11:00,11,2
1217895149T,2018-05-17 08:00,8,1
1217895149T,2018-05-17 16:00,16,2
1217895149T,2018-05-18 07:00,7,1
1217895149T,2018-05-18 14:00,14,1
1217895149T,2018-05-18 20:00,20,1
1217895149T,2018-05-18 21:00,21,2
1217895149T,2018-05-19 07:00,7,2
1217895149T,2018-05-19 11:00,11,1
1217895149T,2018-05-21 17:00,17,3
1217895149T,2018-05-21 18:00,18,1
1217895149T,2018-05-23 11:00,11,1
1217895149T,2018-05-23 12:00,12,1
1217895149T,2018-05-23 17:00,17,1
1217895149T,2018-05-24 09:00,9,2
1217895149T,2018-05-24 14:00,14,1
1217895149T,2018-05-24 18:00,18,2
1217895149T,2018-05-24 19:00,19,1
1217895149T,2018-05-25 13:00,13,1
1217895149T,2018-05-26 21:00,21,1
1217895149T,2018-05-27 12:00,12,1
1217895149T,2018-05-27 17:00,17,1
1217895149T,2018-05-28 10:00,10,2
1217895149T,2018-05-28 13:00,13,1
1217895149T,2018-05-29 16:00,16,3
1217895149T,2018-05-30 13:00,13,1
1217895149T,2018-05-30 14:00,14,1
1217895149T,2018-05-30 16:00,16,4
1217895149T,2018-05-30 17:00,17,2
1217895149T,2018-05-31 07:00,7,1
1217895149T,2018-05-31 18:00,18,1
1217895149T,2018-05-31 19:00,19,1
1217895149T,2018-06-01 11:00,11,1
1217895149T,2018-06-01 15:00,15,1
1217895149T,2018-06-01 17:00,17,1
1217895149T,2018-06-02 16:00,16,1
1217895149T,2018-06-02 19:00,19,1
1217895149T,2018-06-03 12:00,12,1
1217895149T,2018-06-04 10:00,10,2
1217895149T,2018-06-05 07:00,7,1
1217895149T,2018-06-05 09:00,9,1
1217895149T,2018-06-05 15:00,15,1
1217895149T,2018-06-05 18:00,18,1
1217895149T,2018-06-05 19:00,19,1
1217895149T,2018-06-05 20:00,20,1
1217895149T,2018-06-06 09:00,9,1
1217895149T,2018-06-06 12:00,12,4
1217895149T,2018-06-06 16:00,16,1
1217895149T,2018-06-06 20:00,20,1
1217895149T,2018-06-07 13:00,13,1
1217895149T,2018-06-07 14:00,14,3
1217895149T,2018-06-07 15:00,15,1
1217895149T,2018-06-07 17:00,17,1
1217895149T,2018-06-07 18:00,18,1
1217895149T,2018-06-08 15:00,15,1
1217895149T,2018-06-09 13:00,13,1
1217895149T,2018-06-09 15:00,15,1
1217895149T,2018-06-11 09:00,9,2
1217895149T,2018-06-11 10:00,10,1
1217895149T,2018-06-11 12:00,12,2
1217895149T,2018-06-11 16:00,16,1
1217895149T,2018-06-12 12:00,12,1
1217895149T,2018-06-12 15:00,15,1
1217895149T,2018-06-12 16:00,16,1
1217895149T,2018-06-12 17:00,17,3
1217895149T,2018-06-13 08:00,8,1
1217895149T,2018-06-13 17:00,17,1
1217895149T,2018-06-14 13:00,13,1
1217895149T,2018-06-14 17:00,17,1
1217895149T,2018-06-15 05:00,5,1
1217895149T,2018-06-15 06:00,6,1
1217895149T,2018-06-15 08:00,8,1
1217895149T,2018-06-15 09:00,9,1
1217895149T,2018-06-15 10:00,10,1
1217895149T,2018-06-15 11:00,11,2
1217895149T,2018-06-15 12:00,12,1
1217895149T,2018-06-15 15:00,15,1
1217895149T,2018-06-15 18:00,18,1
1217895149T,2018-06-16 13:00,13,2
1217895149T,2018-06-17 17:00,17,2
1217895149T,2018-06-18 11:00,11,1
1217895149T,2018-06-18 13:00,13,1
1217895149T,2018-06-18 15:00,15,1
1217895149T,2018-06-18 17:00,17,3
1217895149T,2018-06-19 10:00,10,1
1217895149T,2018-06-19 11:00,11,1
1217895149T,2018-06-19 17:00,17,2
1217895149T,2018-06-19 21:00,21,1
1217895149T,2018-06-20 15:00,15,1
1217895149T,2018-06-20 16:00,16,1
1217895149T,2018-06-20 17:00,17,1
1217895149T,2018-06-20 23:00,23,2
1217895149T,2018-06-21 19:00,19,2
1217895149T,2018-06-21 23:00,23,2
1217895149T,2018-06-22 15:00,15,1
1217895149T,2018-06-22 20:00,20,1
1217895149T,2018-06-23 12:00,12,1
1217895149T,2018-06-23 13:00,13,1
1217895149T,2018-06-23 14:00,14,2
1217895149T,2018-06-23 15:00,15,1
1217895149T,2018-06-24 10:00,10,1
1217895149T,2018-06-24 11:00,11,1
1217895149T,2018-06-24 16:00,16,3
1217895149T,2018-06-25 07:00,7,1
1217895149T,2018-06-25 09:00,9,1
1217895149T,2018-06-25 10:00,10,2
1217895149T,2018-06-25 13:00,13,1
1217895149T,2018-06-25 14:00,14,1
1217895149T,2018-06-25 19:00,19,1
1217895149T,2018-06-26 17:00,17,1
1217895149T,2018-06-26 19:00,19,1
1217895149T,2018-06-27 08:00,8,1
1217895149T,2018-06-27 09:00,9,1
1217895149T,2018-06-27 17:00,17,1
1217895149T,2018-06-28 07:00,7,2
1217895149T,2018-06-28 12:00,12,2
1217895149T,2018-06-28 14:00,14,1
1217895149T,2018-06-28 17:00,17,1
1217895149T,2018-06-28 18:00,18,3
1217895149T,2018-06-29 09:00,9,1
1217895149T,2018-06-29 10:00,10,1
1217895149T,2018-06-29 11:00,11,1
1217895149T,2018-06-29 14:00,14,2
1217895149T,2018-06-29 20:00,20,1
1217895149T,2018-07-01 11:00,11,1
1217895149T,2018-07-02 11:00,11,1
1217895149T,2018-07-02 12:00,12,2
1217895149T,2018-07-02 13:00,13,2
1217895149T,2018-07-02 17:00,17,1
1217895149T,2018-07-03 09:00,9,2
1217895149T,2018-07-03 14:00,14,1
1217895149T,2018-07-03 19:00,19,1
1217895149T,2018-07-04 14:00,14,2
1217895149T,2018-07-04 15:00,15,4
1217895149T,2018-07-04 16:00,16,2
1217895149T,2018-07-04 21:00,21,1
1217895149T,2018-07-05 08:00,8,1
1217895149T,2018-07-05 10:00,10,1
1217895149T,2018-07-05 11:00,11,2
1217895149T,2018-07-05 14:00,14,3
1217895149T,2018-07-05 15:00,15,1
1217895149T,2018-07-05 16:00,16,1
1217895149T,2018-07-05 17:00,17,2
1217895149T,2018-07-06 08:00,8,1
1217895149T,2018-07-06 12:00,12,1
1217895149T,2018-07-06 17:00,17,1
1217895149T,2018-07-06 18:00,18,1
1217895149T,2018-07-07 13:00,13,1
1217895149T,2018-07-07 22:00,22,1
1217895149T,2018-07-08 13:00,13,1
1217895149T,2018-07-09 09:00,9,1
1217895149T,2018-07-09 12:00,12,1
1217895149T,2018-07-09 14:00,14,1
1217895149T,2018-07-09 21:00,21,1
1217895149T,2018-07-10 16:00,16,1
1217895149T,2018-07-11 11:00,11,2
1217895149T,2018-07-11 16:00,16,1
1217895149T,2018-07-12 08:00,8,1
1217895149T,2018-07-12 11:00,11,1
1217895149T,2018-07-12 17:00,17,1
1217895149T,2018-07-12 19:00,19,1
1217895149T,2018-07-12 20:00,20,1
